Part ID,Part Code,Part Description,Manufacturer,Category,Stock Quantity,Unit Price (USD),Manufacture Date,Acquisition Date,Estimated Lifespan (years)
P-0000069,ENG-90934-T,Part engine model 691,Thales Avionics,engine,11,25479.96,2018-07-11,2019-12-21,14.0
P-0000070,HYD-43055-L,Part hydraulic model 337,GE Aerospace,hydraulic,17,1250.26,2016-03-27,2018-05-23,8.5
P-0000071,ELE-17450-N,Part electrical system model 743,Rolls-Royce,electrical system,7,1016.06,2020-03-03,2020-04-11,6.0
P-0000072,ENG-90051-A,Part engine model 427,MTU Aero Engines,engine,13,65355.35,2024-04-04,2024-10-10,15.1
P-0000073,ENG-15310-J,Part engine model 911,Thales Avionics,engine,16,37396.1,2018-03-08,2020-02-04,11.7
P-0000074,HYD-54528-Q,Part hydraulic model 218,GE Aerospace,hydraulic,16,4417.84,2013-08-25,2016-05-14,7.9
P-0000075,ELE-65779-Q,Part electrical system model 145,Honeywell,electrical system,15,3580.31,2018-04-21,2019-01-24,10.7
P-0000076,ELE-92641-T,Part electrical system model 183,Thales Avionics,electrical system,19,1983.26,2017-12-20,2018-05-30,5.9
P-0000077,ELE-86310-B,Part electrical system model 893,Liebherr-Aerospace,electrical system,13,1059.87,2014-09-13,2017-06-07,4.0
P-0000078,ENG-52311-M,Part engine model 451,Safran,engine,19,58145.21,2025-01-12,2027-08-04,13.7
P-0000079,STR-30886-Y,Part airframe model 112,Parker Aerospace,airframe,16,1419.38,2015-12-28,2018-09-05,25.7
P-0000080,ENG-60877-V,Part engine model 736,Collins Aerospace,engine,12,83217.59,2025-05-01,2025-09-12,11.6
P-0000081,HYD-46181-O,Part hydraulic model 936,Rolls-Royce,hydraulic,10,795.42,2024-07-14,2027-04-07,8.5
P-0000082,ELE-10947-W,Part electrical system model 271,GE Aerospace,electrical system,14,834.03,2011-08-08,2013-04-26,11.8
P-0000083,STR-11128-C,Part airframe model 333,Pratt & Whitney,airframe,10,6071.44,2023-08-31,2025-08-20,25.4
P-0000084,ENG-42322-B,Part engine model 280,Collins Aerospace,engine,8,19899.39,2024-03-29,2025-08-01,13.2
P-0000085,STR-91696-N,Part airframe model 150,Parker Aerospace,airframe,8,2212.46,2013-11-02,2014-11-20,22.6
P-0000086,STR-19808-M,Part airframe model 880,Rolls-Royce,airframe,9,8597.02,2021-12-24,2022-04-24,22.6
P-0000087,ELE-62882-W,Part electrical system model 780,Pratt & Whitney,electrical system,10,1430.55,2015-06-29,2016-02-25,5.1
P-0000088,ELE-49950-Y,Part electrical system model 494,MTU Aero Engines,electrical system,11,1396.98,2013-08-31,2015-05-27,6.7
P-0000089,HYD-30557-B,Part hydraulic model 927,MTU Aero Engines,hydraulic,11,2605.45,2020-05-14,2021-04-21,11.3
P-0000090,STR-18998-Q,Part airframe model 899,Honeywell,airframe,10,3098.47,2018-07-06,2018-11-12,17.4
P-0000091,ENG-67797-U,Part engine model 528,GE Aerospace,engine,15,60041.54,2016-01-21,2018-02-25,14.5
P-0000092,ELE-52407-B,Part electrical system model 373,Liebherr-Aerospace,electrical system,9,1060.6,2024-05-09,2025-11-30,4.0
P-0000093,ELE-81520-P,Part electrical system model 960,Rolls-Royce,electrical system,15,2784.87,2025-06-08,2025-07-22,10.5
P-0000094,STR-57910-V,Part airframe model 306,Pratt & Whitney,airframe,11,7068.13,2022-06-29,2024-06-24,31.5
P-0000095,ELE-75898-O,Part electrical system model 247,Thales Avionics,electrical system,12,1770.87,2014-12-05,2017-06-22,8.5
P-0000096,STR-96540-X,Part airframe model 399,Pratt & Whitney,airframe,9,6046.5,2025-05-10,2027-08-25,19.7
P-0000097,STR-93137-N,Part airframe model 552,Safran,airframe,10,14721.9,2017-04-10,2020-01-03,12.3
P-0000098,STR-15349-I,Part airframe model 648,MTU Aero Engines,airframe,10,17569.06,2011-04-04,2012-04-02,24.2
P-0000099,ENG-49963-G,Part engine model 772,Honeywell,engine,17,74265.19,2015-02-20,2015-05-26,17.3
P-0000100,ENG-32463-X,Part engine model 482,Thales Avionics,engine,16,35030.57,2010-09-20,2012-10-30,16.0
P-0000101,ENG-68792-W,Part engine model 886,Rolls-Royce,engine,14,40401.47,2017-01-28,2019-09-29,18.5
P-0000102,ELE-73528-D,Part electrical system model 899,Liebherr-Aerospace,electrical system,15,1155.16,2018-12-31,2019-12-10,8.8
P-0000103,STR-32787-Y,Part airframe model 717,Honeywell,airframe,14,5601.88,2016-01-03,2016-10-15,19.9
P-0000104,STR-67427-N,Part airframe model 633,Safran,airframe,12,3430.02,2011-06-27,2013-08-07,14.9
P-0000105,HYD-71086-X,Part hydraulic model 332,Liebherr-Aerospace,hydraulic,13,2098.85,2014-09-25,2016-11-19,10.7
P-0000106,ENG-73308-V,Part engine model 733,MTU Aero Engines,engine,9,47760.42,2022-09-21,2025-03-04,11.3
P-0000107,STR-15302-E,Part airframe model 228,GE Aerospace,airframe,18,7486.6,2017-01-21,2019-04-06,24.1
P-0000108,ELE-48059-M,Part electrical system model 921,GE Aerospace,electrical system,21,1364.69,2014-10-08,2015-12-14,11.1
P-0000109,ENG-70252-T,Part engine model 828,MTU Aero Engines,engine,11,70114.36,2024-09-13,2025-12-13,20.2
P-0000110,ENG-22877-R,Part engine model 759,Rolls-Royce,engine,17,22356.61,2021-03-13,2023-07-30,10.0
P-0000111,STR-52103-Y,Part airframe model 669,Pratt & Whitney,airframe,10,8141.16,2018-11-16,2019-08-31,26.5
P-0000112,ENG-93251-D,Part engine model 336,MTU Aero Engines,engine,15,167197.39,2024-06-02,2024-09-27,16.6
P-0000113,HYD-20534-O,Part hydraulic model 681,Collins Aerospace,hydraulic,13,7416.12,2020-04-16,2020-12-07,10.4
P-0000114,HYD-53060-F,Part hydraulic model 800,Thales Avionics,hydraulic,14,2183.14,2013-03-16,2014-09-12,9.2
P-0000115,ELE-96067-X,Part electrical system model 853,MTU Aero Engines,electrical system,16,4695.35,2015-12-10,2017-08-17,4.8
P-0000116,HYD-91991-U,Part hydraulic model 674,Rolls-Royce,hydraulic,14,2052.62,2013-02-17,2013-05-04,9.5
P-0000117,HYD-49823-C,Part hydraulic model 584,MTU Aero Engines,hydraulic,18,3889.62,2015-07-14,2016-06-05,11.8
P-0000118,ENG-19616-I,Part engine model 340,Rolls-Royce,engine,5,116101.51,2022-08-04,2024-10-21,16.2
P-0000119,HYD-58738-T,Part hydraulic model 796,MTU Aero Engines,hydraulic,12,2488.32,2022-02-02,2024-08-21,8.9
P-0000120,STR-71404-G,Part airframe model 870,Liebherr-Aerospace,airframe,13,13874.07,2015-11-23,2016-04-11,23.9
P-0000121,HYD-25954-P,Part hydraulic model 840,Thales Avionics,hydraulic,12,2729.61,2023-02-10,2024-08-23,14.1
P-0000122,HYD-50725-X,Part hydraulic model 322,Liebherr-Aerospace,hydraulic,12,2141.0,2019-08-11,2020-01-19,12.6
P-0000123,STR-20110-Q,Part airframe model 198,Pratt & Whitney,airframe,11,12665.88,2023-02-02,2025-03-22,21.4
P-0000124,ENG-97091-O,Part engine model 858,MTU Aero Engines,engine,9,55009.81,2018-12-16,2019-06-03,13.9
P-0000125,ENG-89232-B,Part engine model 656,Liebherr-Aerospace,engine,16,18027.14,2018-02-13,2018-05-28,14.4
P-0000126,STR-62799-H,Part airframe model 372,Honeywell,airframe,20,6424.64,2014-12-02,2016-03-21,18.4
P-0000127,HYD-99301-Y,Part hydraulic model 498,Rolls-Royce,hydraulic,18,1484.02,2013-02-07,2013-05-20,12.1
P-0000128,HYD-66063-S,Part hydraulic model 616,MTU Aero Engines,hydraulic,15,1101.81,2021-06-06,2023-11-04,11.6
P-0000129,ENG-65240-I,Part engine model 529,Safran,engine,12,36204.39,2021-01-25,2023-07-06,12.6
P-0000130,STR-27868-F,Part airframe model 622,Rolls-Royce,airframe,6,10103.53,2012-01-15,2013-07-20,25.6
P-0000131,STR-90989-O,Part airframe model 447,Thales Avionics,airframe,15,15855.16,2011-01-21,2012-09-30,25.4
P-0000132,ENG-89794-U,Part engine model 650,MTU Aero Engines,engine,12,15872.99,2012-06-17,2012-11-07,17.4
P-0000133,ENG-88513-G,Part engine model 550,Thales Avionics,engine,20,20137.84,2013-06-06,2014-03-31,16.5
P-0000134,STR-64649-K,Part airframe model 141,Safran,airframe,12,22275.78,2024-01-28,2024-06-06,15.5
P-0000135,HYD-93749-H,Part hydraulic model 814,MTU Aero Engines,hydraulic,13,1903.0,2013-08-03,2014-03-22,12.9
P-0000136,STR-20223-G,Part airframe model 193,Pratt & Whitney,airframe,10,2940.16,2025-04-06,2026-06-06,14.3
P-0000137,STR-49369-L,Part airframe model 585,GE Aerospace,airframe,8,26414.89,2019-06-21,2021-06-26,18.4
P-0000138,ELE-79392-G,Part electrical system model 616,Rolls-Royce,electrical system,12,1819.06,2023-05-18,2025-07-12,9.7
P-0000139,STR-22661-H,Part airframe model 663,MTU Aero Engines,airframe,21,5763.5,2011-06-05,2012-09-27,24.7
P-0000140,HYD-81718-D,Part hydraulic model 249,Parker Aerospace,hydraulic,16,1974.88,2018-08-19,2019-07-01,9.6
P-0000141,HYD-17970-S,Part hydraulic model 816,Parker Aerospace,hydraulic,12,1686.87,2018-07-24,2020-12-14,8.5
P-0000142,STR-40755-Y,Part airframe model 911,Thales Avionics,airframe,9,7265.22,2023-05-14,2024-08-28,26.3
P-0000143,STR-23672-M,Part airframe model 598,Thales Avionics,airframe,11,10133.98,2020-07-01,2022-02-26,25.3
P-0000144,STR-56996-P,Part airframe model 470,Liebherr-Aerospace,airframe,13,10868.08,2021-11-13,2022-08-28,21.0
P-0000145,STR-10064-D,Part airframe model 798,Rolls-Royce,airframe,13,2271.14,2015-08-22,2015-11-01,12.5
P-0000146,ENG-80385-H,Part engine model 584,Safran,engine,10,99519.14,2022-05-30,2022-11-23,12.7
P-0000147,ELE-21055-U,Part electrical system model 764,Liebherr-Aerospace,electrical system,13,1780.02,2010-04-05,2012-05-14,7.9
P-0000148,STR-97594-T,Part airframe model 482,Rolls-Royce,airframe,9,10255.81,2025-04-04,2026-01-27,28.9
P-0000149,ENG-92516-S,Part engine model 727,Honeywell,engine,12,63640.18,2012-07-27,2012-12-10,18.0
P-0000150,STR-20866-R,Part airframe model 760,Honeywell,airframe,5,6178.56,2025-04-16,2027-03-10,19.3
P-0000151,HYD-58226-H,Part hydraulic model 831,Rolls-Royce,hydraulic,14,4032.94,2022-01-16,2023-06-16,11.8
P-0000152,ENG-60547-S,Part engine model 291,Honeywell,engine,14,43457.63,2015-12-26,2016-01-20,17.2
P-0000153,ENG-99449-P,Part engine model 844,MTU Aero Engines,engine,15,33716.55,2024-05-17,2027-04-22,13.7
P-0000154,STR-20995-I,Part airframe model 935,Collins Aerospace,airframe,6,8510.91,2017-08-18,2018-10-04,27.7
P-0000155,HYD-12631-K,Part hydraulic model 320,Thales Avionics,hydraulic,16,2146.55,2012-07-02,2014-06-09,7.4
P-0000156,ENG-15967-G,Part engine model 146,Collins Aerospace,engine,10,24361.87,2016-08-01,2019-06-29,16.0
P-0000157,ELE-97278-X,Part electrical system model 226,Honeywell,electrical system,7,2210.82,2019-10-02,2021-08-17,6.6
P-0000158,ELE-47116-U,Part electrical system model 902,Rolls-Royce,electrical system,8,2235.34,2013-07-19,2014-06-20,5.8
P-0000159,ENG-44227-W,Part engine model 826,Pratt & Whitney,engine,13,46844.78,2020-03-05,2021-08-14,10.9
P-0000160,ELE-57664-F,Part electrical system model 106,GE Aerospace,electrical system,12,5433.09,2010-01-27,2010-05-18,8.1
P-0000161,STR-97342-H,Part airframe model 795,GE Aerospace,airframe,9,9923.25,2015-11-28,2016-05-28,23.2
P-0000162,ELE-69201-M,Part electrical system model 215,Honeywell,electrical system,11,1557.14,2021-03-24,2022-02-23,9.9
P-0000163,ELE-91981-W,Part electrical system model 663,Pratt & Whitney,electrical system,11,2320.22,2014-01-03,2014-04-04,7.3
P-0000164,STR-93100-F,Part airframe model 465,Rolls-Royce,airframe,14,38754.96,2021-05-21,2021-09-20,22.1
P-0000165,ENG-65420-E,Part engine model 145,Collins Aerospace,engine,4,20538.06,2012-05-21,2014-11-13,17.5
P-0000166,HYD-53168-R,Part hydraulic model 492,Collins Aerospace,hydraulic,9,8416.85,2024-01-10,2024-10-05,10.3
P-0000167,STR-64862-W,Part airframe model 122,Liebherr-Aerospace,airframe,11,10723.75,2016-09-10,2017-08-24,19.2
P-0000168,ENG-92025-C,Part engine model 230,Rolls-Royce,engine,14,41942.76,2024-05-01,2024-11-04,12.9
P-0000169,ENG-38004-X,Part engine model 226,Liebherr-Aerospace,engine,11,33720.89,2021-05-21,2022-07-31,18.4
P-0000170,STR-70167-V,Part airframe model 544,Liebherr-Aerospace,airframe,16,5989.69,2023-08-29,2025-09-20,25.6
P-0000171,ELE-93828-B,Part electrical system model 876,Honeywell,electrical system,5,611.66,2014-06-18,2017-04-03,9.2
P-0000172,ENG-24568-Q,Part engine model 408,MTU Aero Engines,engine,10,44266.18,2013-06-06,2015-01-08,18.6
P-0000173,STR-19466-R,Part airframe model 807,MTU Aero Engines,airframe,8,14909.38,2018-05-22,2019-04-11,24.2
P-0000174,ENG-67324-A,Part engine model 532,Safran,engine,12,36649.56,2013-08-16,2015-02-17,23.2
P-0000175,ELE-25467-T,Part electrical system model 572,Safran,electrical system,14,1464.58,2022-02-05,2022-06-22,4.8
P-0000176,ENG-85955-U,Part engine model 147,Liebherr-Aerospace,engine,11,25563.76,2021-11-23,2023-11-24,15.2
P-0000177,ELE-26676-H,Part electrical system model 990,Safran,electrical system,14,2103.52,2010-01-05,2010-12-25,6.8
P-0000178,STR-41514-O,Part airframe model 181,GE Aerospace,airframe,11,11980.75,2023-06-08,2026-03-24,21.8
P-0000179,HYD-32650-C,Part hydraulic model 208,Collins Aerospace,hydraulic,19,5554.63,2017-04-09,2019-03-21,7.2
P-0000180,ENG-87701-M,Part engine model 362,Liebherr-Aerospace,engine,17,12976.27,2020-12-16,2022-05-14,10.5
P-0000181,STR-69819-S,Part airframe model 966,Pratt & Whitney,airframe,13,5738.26,2010-06-09,2011-02-13,20.5
P-0000182,ENG-14860-R,Part engine model 130,Pratt & Whitney,engine,17,61767.63,2012-07-05,2012-10-12,17.6
P-0000183,HYD-41351-A,Part hydraulic model 457,Honeywell,hydraulic,12,1480.48,2018-02-21,2018-09-12,9.6
P-0000184,HYD-72744-G,Part hydraulic model 667,Honeywell,hydraulic,15,2691.62,2016-11-24,2018-08-01,12.5
P-0000185,STR-84155-J,Part airframe model 579,MTU Aero Engines,airframe,6,13605.55,2015-05-16,2016-11-27,19.9
P-0000186,ELE-86700-L,Part electrical system model 966,Collins Aerospace,electrical system,10,1878.4,2011-04-20,2011-04-30,6.4
P-0000187,HYD-75642-D,Part hydraulic model 288,Liebherr-Aerospace,hydraulic,7,3118.9,2015-05-28,2017-08-08,9.4
P-0000188,STR-80290-F,Part airframe model 104,Collins Aerospace,airframe,15,3583.41,2022-09-22,2022-11-04,23.0
P-0000189,STR-71336-I,Part airframe model 385,Thales Avionics,airframe,11,5489.96,2011-10-08,2011-12-31,27.9
P-0000190,ENG-50403-J,Part engine model 889,MTU Aero Engines,engine,12,47760.9,2011-12-03,2014-01-09,17.2
P-0000191,ENG-22196-M,Part engine model 756,Thales Avionics,engine,13,63596.98,2020-11-25,2022-10-23,18.0
P-0000192,HYD-27279-B,Part hydraulic model 493,Thales Avionics,hydraulic,14,2413.77,2011-07-21,2012-03-09,8.5
P-0000193,HYD-64240-X,Part hydraulic model 554,Pratt & Whitney,hydraulic,10,6082.93,2021-12-12,2023-11-27,7.2
P-0000194,ELE-48187-J,Part electrical system model 807,Collins Aerospace,electrical system,16,2035.21,2012-10-27,2012-11-16,6.2
P-0000195,STR-58481-I,Part airframe model 525,Safran,airframe,8,7941.71,2012-11-17,2013-09-13,22.6
P-0000196,STR-77969-W,Part airframe model 126,GE Aerospace,airframe,20,21482.99,2024-10-18,2027-01-16,19.0
P-0000197,ELE-16858-W,Part electrical system model 226,Liebherr-Aerospace,electrical system,5,472.1,2020-08-29,2022-01-23,12.1
P-0000198,HYD-84474-Q,Part hydraulic model 234,GE Aerospace,hydraulic,15,684.73,2022-05-01,2024-11-10,11.0
P-0000199,HYD-42099-M,Part hydraulic model 634,Safran,hydraulic,16,5089.96,2013-09-14,2014-02-16,6.4
P-0000200,ELE-71455-A,Part electrical system model 430,GE Aerospace,electrical system,9,1654.2,2015-12-12,2018-06-30,7.7
P-0000201,ELE-84796-A,Part electrical system model 728,Honeywell,electrical system,12,2756.87,2021-11-01,2023-04-10,8.0
P-0000202,ENG-57458-L,Part engine model 491,Liebherr-Aerospace,engine,16,40490.55,2023-08-10,2023-11-27,12.1
P-0000203,ENG-68046-E,Part engine model 107,Parker Aerospace,engine,15,53087.03,2019-06-29,2019-08-18,17.3
P-0000204,HYD-26488-L,Part hydraulic model 712,Honeywell,hydraulic,9,4533.43,2014-10-02,2014-10-03,10.2
P-0000205,ELE-62669-J,Part electrical system model 360,MTU Aero Engines,electrical system,12,4182.42,2022-02-04,2023-12-24,9.5
P-0000206,ENG-55906-E,Part engine model 298,Safran,engine,16,51720.65,2025-06-22,2026-02-16,15.0
P-0000207,ENG-47305-E,Part engine model 697,Parker Aerospace,engine,15,79530.15,2014-07-06,2014-12-10,12.0
P-0000208,ELE-31352-T,Part electrical system model 839,Honeywell,electrical system,9,1383.99,2016-12-28,2018-10-08,8.8
P-0000209,ENG-66624-J,Part engine model 485,Parker Aerospace,engine,12,51891.44,2018-12-13,2020-02-27,13.3
P-0000210,ENG-95504-V,Part engine model 571,GE Aerospace,engine,14,17242.27,2025-01-24,2026-05-24,11.6
P-0000211,STR-18539-P,Part airframe model 278,Pratt & Whitney,airframe,17,4947.33,2024-07-29,2024-12-20,21.7
P-0000212,ELE-23305-O,Part electrical system model 549,Safran,electrical system,12,3258.87,2018-05-18,2019-02-15,12.4
P-0000213,ELE-85801-T,Part electrical system model 339,GE Aerospace,electrical system,12,3443.07,2019-10-29,2020-02-12,9.8
P-0000214,ENG-42152-M,Part engine model 623,Pratt & Whitney,engine,9,35836.75,2021-08-10,2022-08-06,17.2
P-0000215,ELE-40624-Y,Part electrical system model 914,Collins Aerospace,electrical system,15,4617.49,2020-02-16,2021-01-14,6.0
P-0000216,ENG-66132-F,Part engine model 845,Liebherr-Aerospace,engine,14,14920.13,2012-09-18,2015-01-05,16.8
P-0000217,STR-62979-N,Part airframe model 282,Safran,airframe,13,16315.47,2015-07-24,2018-06-23,27.3
P-0000218,ELE-73797-W,Part electrical system model 893,GE Aerospace,electrical system,15,1764.91,2015-01-15,2017-12-29,11.0
P-0000219,ELE-26650-F,Part electrical system model 457,Safran,electrical system,13,536.45,2011-06-09,2012-07-29,5.4
P-0000220,HYD-17434-M,Part hydraulic model 475,Pratt & Whitney,hydraulic,9,1633.7,2017-08-01,2019-12-05,11.1
P-0000221,ELE-76558-L,Part electrical system model 801,Liebherr-Aerospace,electrical system,11,1428.64,2010-06-22,2011-04-19,8.5
P-0000222,STR-77573-B,Part airframe model 937,Honeywell,airframe,10,3858.7,2023-03-13,2023-08-14,30.4
P-0000223,ENG-84292-C,Part engine model 826,Parker Aerospace,engine,12,22077.61,2022-06-04,2024-04-25,14.3
